sku,make,model,cc,date_from,date_to
15-6000.TA,SHERCO,Trials,80,2004,2010
17-1259.AB,SHERCO,Trials,80,2004,2013
17-1259.FIR,SHERCO,Trials,80,2004,2013
17-1259.PROX,SHERCO,Trials,80,2004,2013
17-1259.PW.01,SHERCO,Trials,80,2004,2013
17-1259.PW.02,SHERCO,Trials,80,2004,2013
17-1259.PW.03,SHERCO,Trials,80,2004,2013
17-2577.AB,SHERCO,Trials,80,2004,2013
17-2577.FIR,SHERCO,Trials,80,2004,2013
17-2868.A,SHERCO,Trials,80,2004,2010
17-2875.A,SHERCO,Trials,80,2011,2013
17-8146.A,SHERCO,Trials,80,2004,2013
17-8526,SHERCO,Trials,80,2004,2013
39-115.H.DEL.HS,SHERCO,Trials,80,2001,2004
39-115.H.DP,SHERCO,Trials,80,2001,2004
39-115.H.FIR.HF,SHERCO,Trials,80,2001,2004
39-115.H.FIR.HS,SHERCO,Trials,80,2001,2004
39-115.H.NITRO,SHERCO,Trials,80,2001,2004
39-115.H.PROX,SHERCO,Trials,80,2001,2004
39-115.S.EBC,SHERCO,Trials,80,2001,2004
39-115.S.FIR.SM,SHERCO,Trials,80,2001,2004
39-115.S.MM,SHERCO,Trials,80,2001,2004
39-303.H.FIR.HS,SHERCO,Trials,80,2005,2010
39-303.H.SM,SHERCO,Trials,80,2005,2010
39-303.S.DEL.SM,SHERCO,Trials,80,2005,2010
39-303.S.EBC,SHERCO,Trials,80,2005,2010
39-303.S.FIR.SM,SHERCO,Trials,80,2005,2010
39-351.H.FIR.HS,SHERCO,Trials,80,2005,2010
39-351.H.FIR.HS,SHERCO,Trials,80,2001,2004
39-351.S.DEL.SM,SHERCO,Trials,80,2001,2004
39-351.S.DEL.SM,SHERCO,Trials,80,2005,2010
39-351.S.EBC,SHERCO,Trials,80,2001,2004
39-351.S.EBC,SHERCO,Trials,80,2005,2010
39-351.S.FIR.SM,SHERCO,Trials,80,2001,2004
39-351.S.FIR.SM,SHERCO,Trials,80,2005,2010
57-006.AB,KAWASAKI,KZ,650,1980,1980
57-006.ATH,KAWASAKI,KZ,650,1980,1980
57-006.EACH,KAWASAKI,KZ,650,1980,1980
15-6000.TA,SHERCO,Trials 1.25,125,2000,2010
